id,author_year,country,setting,level_of_care,design,era_note,n_patients,antibody_type,DAT_status,gestation_range,prior_IUT,phototherapy_standard,exchange_threshold_used,ivig_product,ivig_dose,infusion_duration,timing,repeat_doses,comparator,control_exchange_rate,primary_outcome,effect_size,ci_lower,ci_upper,p_value,peak_SBR,phototherapy_duration,topup_transfusions,length_of_stay,NEC,haemolysis,thrombosis,infusion_reactions,other_harms,neurodevelopment,rob_tool,rob_overall,directness,grade_certainty,grade_reason,funding,key_limitation,abstract_only,pmid,doi,notes
C11,Gottvall_1995,Sweden,not stated in abstract,not stated in abstract,case report,pre-intensive-phototherapy era (1995 publication),1,Mixed - Rh(D) + Rh(C) + Kell (three concurrent alloimmunisations),not stated in abstract,not stated in abstract,not stated in abstract (fetal intravascular transfusions given antenatally),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,"postnatal (""postpartum the newborn was given immunoglobulin""), in addition to antenatal maternal plasmapheresis and high-dose IVIG",not stated in abstract,not applicable (case report - no comparator arm),not applicable (no control group),"newborn required one exchange transfusion and four top-up transfusions; anti-D elimination followed postnatally, not detectable until almost 4 months postpartum, coinciding with elevated reticulocyte production and cessation of transfusion need",not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated in abstract,not stated in abstract,one exchange transfusion plus four top-up transfusions,not stated in abstract (anti-D detectable for almost 4 months postpartum),not stated in abstract,extremely aggressive alloimmunisation described; anti-D persisted for ~4 months,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (mixed Rh(D)+Rh(C)+Kell HDN, postnatal IVIG) but single case, no comparator; also involves substantial antenatal maternal treatment, complicating attribution of the postnatal IVIG's specific contribution",Very low,"downgraded for study design (single case report, no comparator, extensive co-intervention including antenatal maternal plasmapheresis/IVIG) and imprecision (n=1)",not stated in abstract,"one of the few identified reports where postnatal neonatal immunoglobulin was given specifically alongside a Kell component of a mixed alloimmunisation; authors explicitly suggest 'immunoglobulin treatment can also be considered as an optional form of treatment in newborns affected by alloimmunization' but this is their own interpretive comment, not a controlled finding",Y,8580635,10.1111/j.1651-2227.1995.tb13557.x,Mixed Rh(D)+(C)+Kell case; contributes to Domain C's 'mixed' category; also relevant to Domain D given the detailed postnatal antibody-elimination kinetics described
C12,Sato_1991,Japan,single centre,not stated in abstract,case series (3 infants; Infant 1 relevant to Domain C),pre-intensive-phototherapy era (1991 publication),3 total (1 relevant to Domain C: Infant 1); Infants 2-3 were ABO incompatibility (Domain B),"Mixed - Anti-E + Anti-c (Rh incompatibility, Infant 1)",not stated in abstract,not stated in abstract,not stated in abstract,conventional phototherapy (hyperbilirubinaemia was 'refractory to conventional phototherapy'),not stated in abstract,not stated in abstract,1 g/kg,not stated in abstract,"postnatal, given after hyperbilirubinaemia proved refractory to phototherapy",not stated in abstract (single course implied per infant),not applicable (case report - no comparator arm),not applicable (no control group),hyperbilirubinaemia 'responded well' to IVIG (1 g/kg) in all three infants including Infant 1 (anti-E+anti-c),not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,refractory hyperbilirubinaemia attributed to ongoing haemolysis from anti-E+anti-c,not stated in abstract,not stated in abstract,"none observed (""no adverse effects were observed"" across all 3 infants)",not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case series design),"Direct (mixed anti-E+anti-c Rh HDN refractory to phototherapy, postnatal IVIG 1 g/kg) but single relevant case within a 3-infant series, no comparator",Very low,"downgraded for study design (case series, no comparator, phototherapy-refractory selection) and imprecision (n=1 for the Domain C-relevant infant)",not stated in abstract,"earliest identified Domain C case report with an explicit, numeric IVIG dose (1 g/kg) - useful cross-reference for Domain D's dose question even though it is a single non-comparative case",Y,1709770,10.1111/j.1651-2227.1991.tb11828.x,"Series of 3 infants; only Infant 1 (anti-E+anti-c) is Domain C-relevant - Infants 2 and 3 (anti-B, ABO incompatibility) belong to Domain B"
C13,SaficStanic_2026,not stated in abstract,not stated in abstract,not stated in abstract,case report,modern era (2026 publication),1,Mixed - Anti-D + Anti-C + Anti-Fya + Anti-M (four concurrent maternal alloantibodies),not stated in abstract,37 weeks (delivered at 37 weeks),yes - two intrauterine transfusions with antigen-negative RBCs were performed antenatally,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,"postnatal (""the neonate required phototherapy, IVIG, and transfusion support"")",not stated in abstract,not applicable (case report - no comparator arm),not applicable (no control group),"favourable neonatal outcome after phototherapy, IVIG and transfusion support",not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated in abstract,not stated in abstract,transfusion support given (type/number not stated in abstract),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (mixed 4-antibody Rh/Duffy/MNS HDFN, postnatal IVIG) but single case, no comparator; heavy antenatal co-intervention (2x IUT) further reduces attributability of postnatal IVIG's contribution",Very low,"downgraded for study design (single case report, no comparator, extensive antenatal co-intervention) and imprecision (n=1)",not stated in abstract,"most recent (2026) Domain C case identified; illustrates that 'mixed' alloimmunisation in modern practice can now involve non-Rh, non-Kell systems (Duffy Fya, MNS M) as well",Y,42570441,10.1016/j.transci.2026.104505,"Mixed 4-antibody case (anti-D+anti-C+anti-Fya+anti-M); contributes to Domain C's 'mixed' category; also a case report/mechanism review, so partly narrative rather than pure primary data"
C14,Felc_2001,"Slovenia (""Celje General Hospital"" per author affiliation)","single centre (Celje General Hospital, Neonatal Unit)",Neonatal Unit,case report,not stated (2001 publication),1,Anti-c (Rh isoimmunization),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not applicable (case report - no comparator arm),not applicable (no control group),"no outcome detail available - PubMed record has no abstract text; MeSH terms confirm the case involved combined-modality therapy including phototherapy, exchange transfusion, IVIG, erythropoietin, phenobarbital and anticonvulsants for bilirubin/haematocrit management",not applicable (case report),not applicable (case report),not applicable (case report),not applicable (case report),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not stated (abstract not available),not assessed (no RoB tool applicable to case reports),not applicable (case report design),"Direct (anti-c Rh HDN) per MeSH indexing, but no narrative or numeric detail retrievable this session",Very low,"downgraded for study design (single case report, no comparator, no abstract/full text retrievable - cannot assess risk of bias in the actual reported methods) and imprecision (n=1)",not stated (abstract not available),"PubMed abstract field is empty (""[Abstract not available]"") and no PMC ID exists for this record; extraction relies on the title and NLM-assigned MeSH terms only (Bilirubin, Exchange Transfusion, Erythropoietin, Immunoglobulins Intravenous, Phenobarbital, Phototherapy, Rh Isoimmunization) - included per citation-integrity rule as a verified real PMID with 'not stated in abstract' used throughout rather than inventing detail",Y,15332750,not available (no DOI in PubMed record),"Title/MeSH-only extraction, weakest-evidence row in Domain C; retained only because the PMID and antibody type (anti-c) are verified, per CLAUDE.md rule 1"
C15,Healsmith_2019,Australia,"single centre (Royal Women's Hospital, Victoria)",special care nursery (43 neonates admitted),retrospective cohort,2009-2013 study period (era otherwise not stated),115 pregnancies in 102 mothers (non-D Rh alloimmunization overall); 10 neonates received IVIG (denominator among which of the 115 not disaggregated),"Mixed non-D Rh: anti-C, anti-E, anti-c, anti-e, anti-Ca, plus compound antibodies anti-CD, anti-cE, anti-ce",not stated in abstract,not stated in abstract,11 fetuses received intrauterine red blood cell transfusion (proportion of the 115 not further disaggregated by IVIG recipients),not stated in abstract,"critical titer defined as >16 (used to trigger escalation of monitoring, not stated as an exchange-transfusion threshold specifically)",not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract (10 neonates received IVIG; postnatal vs antenatal timing not specified for this subgroup),not stated in abstract,not applicable (descriptive cohort - no comparator arm reported for IVIG-treated vs untreated neonates),not applicable (exchange-transfusion-specific denominator not reported),"descriptive cohort outcomes: 59/115 neonates received phototherapy, 9 treated for anaemia, 10 received IVIG; most severe outcomes (including perinatal deaths) were associated with compound antibodies anti-CD and anti-cE, or a non-D antibody in conjunction with anti-D","not applicable (descriptive cohort, no effect size calculated for IVIG)",not applicable,not applicable,not applicable,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed (no RoB tool applied - descriptive retrospective cohort),not applicable (no comparator arm for IVIG within the cohort),Direct (non-D Rh alloimmunized pregnancies including anti-c/anti-E/anti-e/compound antibodies) but indirect for IVIG efficacy specifically - IVIG use is reported descriptively (10/115) with no antibody-specific or comparator breakdown,Very low,"downgraded for risk of bias (retrospective, no comparator arm isolating IVIG's effect) and indirectness (IVIG-treated neonates not disaggregated by antibody type or from non-IVIG neonates in outcome reporting)",not stated in abstract,"best-available background incidence data for Domain C (largest N of any identified source) but does not report IVIG dosing, timing, or antibody-specific efficacy - cannot be used to support or refute an efficacy claim, only to show that postnatal IVIG is used in practice for non-D Rh disease (10/115 pregnancies, unspecified antibody breakdown)",Y,30723901,10.1111/aogs.13555,"Largest identified Domain C-relevant dataset; confirms compound antibodies (anti-CD, anti-cE) and non-D-Rh-plus-anti-D combinations carry the highest severity, consistent with the 'mixed' antibody cases (C2, C4, C11, C12, C13) in this domain"
E1,Figueras-Aloy_2009,Spain,single centre,NICU,Retrospective observational cohort,16-year retrospective study; phototherapy standard not stated as intensive,492 (167 IVIG / 325 non-IVIG),"Mixed: Rh (n=91), ABO (n=401)",not stated in abstract,>=34 weeks,not stated in abstract,phototherapy (all included); not stated as intensive,IVIG indicated when TSB + 2 points reached 85% of ET cutoff; ET threshold itself not separately stated,not stated in abstract,500 mg/kg,2-4 hours,rescue (approaching ET threshold),not stated in abstract,non-IVIG (phototherapy alone) cohort,"not stated numerically (NEC, not ET, is this study's outcome)",necrotizing enterocolitis as risk-factor outcome,"adjusted OR 31.66 for IVIG (multivariate; cesarean OR 3.76, Apgar-5 OR 0.50 also independent predictors)",3.25,308.57,not stated numerically beyond CI,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,11/492 (2.2%) overall; 10/167 (6%) IVIG vs 1/325 (0.3%) non-IVIG; 5 required urgent operation; 1 died of massive intestinal necrosis; 1 died 2 years later of short bowel syndrome,not assessed in this report,not assessed in this report,not stated in abstract,not stated in abstract,not assessed in this report,not applied (observational),"High risk of bias (retrospective, not adjusted for bilirubin severity/rate of rise -- confounding by indication not addressed)",Direct (term/late-preterm Rh+ABO HDN; postnatal),Very Low,"downgraded for serious risk of bias (no adjustment for disease severity/indication) and serious imprecision (wide CI, few events)",not stated in abstract,landmark signal-generating study but does not adjust for the severity of haemolysis/bilirubin trajectory that itself drives both IVIG use and NEC risk -- confounding by indication not excluded,Y,19948572,10.1542/peds.2009-0676,"Most-cited single study underpinning the 2022 AAP guideline's caution against routine IVIG (PMID 35927519, cited narratively in domain-E.md)"
E2,Corvaglia_2012,Italy,single centre,NICU,Retrospective cohort,not stated in abstract,88 (34 no-IVIg / 54 IVIg),RhD,not stated in abstract,not stated in abstract,"recorded as exposure/outcome variable, proportion not stated in abstract",not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,number of IVIg infusions recorded as a variable; exact count not stated in abstract,no-IVIg (exchange transfusion/standard care) cohort,not stated numerically (qualitatively lower EXT number in IVIg group),"composite: EXT number, neurological impairment, top-up transfusions, LOS, treatment-related adverse events","qualitative only in abstract: significantly lower EXT number, lower neurological-impairment risk, but longer phototherapy/LOS and more top-up transfusions in IVIg group",,,not stated numerically in abstract,not stated in abstract,longer in IVIg group (no absolute values in abstract),more in IVIg group (no absolute values in abstract) -- flagged by authors as a side effect to monitor,longer in IVIg group (no absolute values in abstract),2/54 (3.7%) IVIg group developed NEC; 0/34 in no-IVIg group,not stated in abstract,not stated in abstract,not stated in abstract,EXT associated with a 'high number of adverse events' (not further specified in abstract),lower risk of neurological impairment in IVIg group (no numeric value in abstract),not applied (observational),"High risk of bias (retrospective, unadjusted comparison, small n, only 2 NEC events)",Direct (Rh-HDN; postnatal),Very Low,"downgraded for serious risk of bias (retrospective, unadjusted, likely indication bias) and very serious imprecision (2 NEC events total)",not stated in abstract,"explicitly flags top-up-transfusion and NEC findings as side effects to monitor, but event counts too small for an effect estimate; direction of confounding (sicker infants selected for IVIg vs EXT) not addressed",Y,22882154,10.3109/14767058.2012.718387,Also relevant to Domain A/D (IVIg vs exchange transfusion comparison); extracted here for harms content
E3,Li_2022,China,tertiary centre,NICU,"Retrospective cohort with propensity score, interaction, univariate and multivariable logistic regression",modern era (Jan 2019-Oct 2021); most methodologically rigorous confounding-control study identified for this outcome,1259 (192 IVIG / 1067 non-IVIG),"HDN, not further speciated by antibody in abstract",not stated in abstract,>=34 weeks (late-preterm and term),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,early neonatal period (<7 days),not stated in abstract,non-IVIG (standard care) cohort within same registry,not applicable (ET not the outcome studied),confirmed necrotizing enterocolitis,"no significant association (univariate, p>0.05); multivariate NEC predictors were caesarean delivery, admission Hb <130 g/L, and PDA -- IVIG not independently associated; no interactive effect of IVIG for prematurity, low birth weight, caesarean, low Hb, or PDA",,,>0.05 (univariate),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,29/1259 (2.3%) overall; 5/192 (2.6%) IVIG vs 24/1067 (2.2%) non-IVIG,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed in this report,"not named in abstract, but propensity score/interaction/multivariable methods described",Moderate risk of bias (retrospective but explicit confounding-control methodology -- the best-controlled NEC-signal study identified),Direct (late-preterm and term HDN; postnatal),Low,"downgraded for risk of bias (retrospective, single-centre, residual unmeasured confounding possible) and imprecision (5 vs 24 events) -- but this is the only NEC-signal study explicitly designed to test confounding by indication, and it found none",not stated in abstract,single tertiary centre; propensity-score approach substantially reduces but cannot eliminate confounding by unmeasured severity markers (e.g. bilirubin rate of rise),Y,35613867,10.1111/vox.13297,Key counter-evidence to the Figueras-Aloy/Yang NEC signal; central to domain-E.md part (b) discussion of confounding by indication
E4,Yang_2016,China (4/5 pooled studies Chinese-database),multicentre (meta-analysis),NICU,Meta-analysis (random/fixed effects per heterogeneity) of 5 studies,pooled studies not individually dated in available abstract; search current to Dec 2015,not stated in abstract (5 studies pooled; total n not given),"hemolysis in neonates generally, not further specified by Rh/ABO in abstract",not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,control (non-IVIG) groups across 5 pooled studies,not applicable,"incidence of NEC and mortality; baseline comparability (gestational age, gender, TBil, birth weight, SGA, formula feeding)","NEC OR 4.53; mortality not significantly increased; birth weight significantly different between groups (WMD 33.35 g, 95% CI 20.70-46.01) -- baseline imbalance",2.34,8.79,<0.00001 (NEC OR),not applicable,not stated in abstract,not stated in abstract,not stated in abstract,"pooled OR 4.53 (95% CI 2.34-8.79), p<0.00001; raw event counts not given in abstract",not applicable,not stated in abstract,not stated in abstract,mortality not significantly different between groups (no numeric value in abstract),not assessed in this report,not named in abstract,"High to Very High risk of bias (4/5 pooled studies Chinese-database, individual quality not described in available abstract; authors' own reported birth-weight imbalance suggests baseline non-comparability)",Direct in population (neonatal hemolytic disease) but indirect in applicability to a UK NICU given predominance of Chinese-database studies of unclear phototherapy standard/era,Very Low,"downgraded for serious risk of bias (unclear individual study quality, self-reported baseline birth-weight imbalance = confounding signal), serious indirectness (unclear UK-comparability), and publication bias (language/database-restricted small pooled literature)",not stated in abstract,abstract only; individual study quality and effect-direction adjustment for birth-weight imbalance not retrievable without full text; birth-weight imbalance itself is evidence of confounding by indication/severity between arms,Y,27735024,not available (no DOI returned by PubMed; PMID only),Main pooled quantitative NEC signal; directly contrasted with Li 2022's (E3) propensity-adjusted null result in domain-E.md part (b)
E5,Navarro_2009,Spain,"single centre (University Hospital La Fe, Valencia)",NICU,Case series,not stated in abstract,3,isoimmunization-derived (not further specified per case in abstract),not stated in abstract,term,not stated in abstract,refractory to phototherapy (triggered IVIg),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,rescue (refractory hyperbilirubinaemia),not stated in abstract,none (case series),not applicable,development of NEC following IVIg,not applicable (case series),,,not applicable,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,3/3 developed NEC shortly after IVIg infusion; 1 required surgery; all needed antibiotics and prolonged parenteral nutrition,septicaemia and coagulopathy ruled out as alternative causes; haemolysis marker data not stated in abstract,mechanistic finding: histopathology of resected intestine showed disseminated thrombi obstructing multiple minor mesenteric vessels,not stated in abstract,not stated in abstract,not assessed,not applicable (case series -- no comparator),"Very high risk of bias for causal inference (case series, no comparator/denominator); valuable for mechanism only",Direct (term isoimmunised neonates; postnatal) for descriptive/mechanistic purposes only,Very Low,downgraded for very serious risk of bias inherent to case-series design (no comparator/denominator) and imprecision (n=3),not stated in abstract,no denominator/comparator; important as histopathological support for a thrombotic mechanism linking IVIg to NEC not as an incidence estimate,Y,19397554,10.1111/j.1651-2227.2009.01279.x,"Provides the mechanistic (thrombotic) hypothesis for the NEC signal; cited alongside Merlob 1990 (E11, same hypothesis in NAIT)"
E6,Kara_2013,Turkey,single centre,NICU,Case report,not stated in abstract,1,ABO,not stated in abstract,not stated (implied term/near-term),not applicable (ABO disease),phototherapy per standard protocol; not further specified,not stated in abstract,not stated in abstract,1 g/kg,not stated in abstract,rescue (significant hyperbilirubinaemia),2 courses (1 g/kg each),none (case report),not applicable,development of NEC after IVIG,not applicable (case report),,,not applicable,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,1/1 developed NEC after two courses of 1 g/kg IVIG,not applicable/not stated,not stated in abstract,not stated in abstract,not stated in abstract,not assessed,not applicable,Very high risk of bias for causal inference (n=1 case report),Direct (ABO HDN; postnatal) for descriptive purposes only,Very Low,downgraded for very serious risk of bias/imprecision inherent to n=1 case report design,not stated in abstract,"single case; repeat (2-course) high-dose regimen noted by authors as a specific caution; cumulative 2 g/kg dose is consistent with the >=2 g/kg threshold associated with IVIG-induced harm in the wider case-report literature (E14), though the harm reported here is NEC not haemolysis",Y,23930883,not available (no DOI returned by PubMed; pii only),Author explicitly recommends caution and monitoring for complications with repeat-dose IVIG in ABO HDN
E7,Atikan_2015,Turkey,single centre (Ege University),NICU,Case report,not stated in abstract,1,isoimmune (not further specified),not stated in abstract,term,not applicable/not stated,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,none (case report),not applicable,acute abdominal complication after IVIG,not applicable (case report),,,not applicable,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not classic diffuse NEC; authors describe perforated appendicitis as 'a localized form of necrotizing enterocolitis',not stated in abstract,not stated in abstract,onset within 10 hours of therapy (rapid post-infusion onset),perforated appendicitis requiring surgery; complete recovery after surgery,not assessed,not applicable,Very high risk of bias for causal inference (n=1 case report),Direct (term isoimmune HDN; postnatal) for descriptive purposes only,Very Low,downgraded for very serious risk of bias/imprecision inherent to n=1 case report design,not stated in abstract,illustrates that the NEC-spectrum harm signal may present focally (appendiceal) rather than as classic diffuse NEC -- possible under-ascertainment in studies using strict Bell-staging NEC definitions,N,25899199,not available (no DOI returned by PubMed; pii only),Onset within 10 hours of IVIG infusion -- a short latency consistent with other case reports in this domain
E8,Gutierrez-Velez_2022,Spain,single centre (Hospital General Universitario Gregorio Marañón),NICU,Case report,not stated in abstract,1,anti-c (Rh minor antigen),not stated in PubMed record,preterm,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,exchange transfusion (given as co-treatment before NEC),not applicable,development of NEC after IVIG + exchange transfusion,not applicable (case report),,,not applicable,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,1/1 developed NEC after treatment with IVIG and exchange transfusion,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed,not applicable,Very high risk of bias for causal inference (n=1 case report),Direct (preterm anti-c HDFN; postnatal) for descriptive purposes only,Very Low,downgraded for very serious risk of bias/imprecision inherent to n=1 case report design,not stated in abstract,"PubMed's own abstract field is empty for this record ('[Abstract not available]'); descriptive clinical content above is drawn from the Consensus MCP tool's excerpt of the same published article, with PMID/DOI/title/authors/journal independently verified via PubMed this session","Y (abstract not available on PubMed; content via Consensus excerpt of the same article, identifiers PubMed-verified)",36344387,10.1016/j.anpede.2022.10.001,Rare-antibody (anti-c) case; illustrates the NEC signal is not restricted to Rh-D or ABO disease
E9,Ciplak_2025,Turkey,single centre (Sivas Cumhuriyet University),NICU,Case report,not stated in abstract,1,haemolytic disease of newborn (antibody type not stated in available title/record),not stated in abstract,term,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,none (case report),not applicable,fatal NEC following IVIG infusion,not applicable (case report),,,not applicable,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,1/1 fatal NEC associated with IVIG infusion (per title; no further detail available),not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not assessed,not applicable,Very high risk of bias for causal inference (n=1 case report),Direct (term HDN; postnatal) for descriptive purposes only,Very Low,downgraded for very serious risk of bias/imprecision inherent to n=1 case report design,not stated in abstract,"neither PubMed nor Consensus returned an abstract for this record; only the title ('Fatal Necrotising Enterocolitis Associated With IVIG Infusion in a Term Infant With Haemolytic Disease: Case Report') could be verified this session -- no further numeric or clinical detail transcribed, per CLAUDE.md rule 2",Y (abstract not available anywhere retrieved this session; title only),40405449,10.1111/jpc.70096,Most recent (2025) published case in this domain; title alone confirms the harm signal remains an active concern in the current literature
E10,Louis_Patil_2015,India,single centre (PGIMER Chandigarh),NICU (level III),Prospective observational study,Jul 2011-Aug 2012,30 neonates / 33 IVIg treatment instances,MIXED: Rh isoimmunization AND alloimmune thrombocytopenia (NAIT) -- population partly INDIRECT for HDFN,not stated in abstract,mean 36+/-2 weeks,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,1 g/kg,not stated in abstract,not stated in abstract,not stated in abstract,within-subject (pre- vs post-IVIg Doppler measurements); no separate control group,not applicable,intestinal blood flow (coeliac and superior mesenteric artery Doppler indices) before/after IVIg,"SMA systolic/diastolic ratio lower immediately post-IVIg vs baseline: median (IQR) 5 (3,9) vs 7 (4,14); other Doppler indices (peak systolic velocity, end-diastolic velocity, time-averaged mean velocity, pulsatility index, resistive index) comparable to baseline at both time points",,,"0.02 (SMA S/D ratio only; other comparisons not significant, exact p not given)",not applicable,not applicable,not stated,not applicable,0/30 developed feed intolerance or NEC,not stated in abstract,not directly assessed (Doppler flow surrogate only; no significant adverse flow changes found),not stated in abstract,none reported,not assessed,"not applied (observational, no named RoB tool)","Moderate risk of bias (small n, single-arm before/after design, short follow-up, surrogate outcome)","Partially INDIRECT -- mixed HDN/NAIT population, Rh-HDN subset not separately reported in abstract",Low,"downgraded for indirectness (mixed HDN/NAIT population; surrogate Doppler outcome rather than clinical NEC) and imprecision (n=30, short follow-up)",not stated in abstract,"reassuring negative mechanistic finding (no significant intestinal blood-flow compromise, no NEC in this small prospective cohort) but underpowered to detect a NEC signal of the magnitude reported in E1-E4",Y,25598445,10.1007/s12098-014-1678-y,Only identified prospective mechanistic (Doppler) study directly testing the vascular/thrombotic hypothesis in vivo
E11,Merlob_1990,Israel,single centre (Beilinson Medical Center),NICU,Case report,not stated in abstract,1,"NOT HDFN -- neonatal alloimmune (isoimmune) THROMBOCYTOPENIA (platelet alloimmunisation, i.e. FNAIT); population mismatch, flagged INDIRECT per task instruction","not applicable (platelet, not red-cell, alloimmunisation)",38 weeks,not applicable,not stated in abstract,not stated in abstract,not stated in abstract,high dose (exact figure not stated in abstract),not stated in abstract,not stated in abstract,not stated in abstract,none (case report),not applicable,development of NEC after high-dose IVIG for NAIT,not applicable (case report),,,not applicable,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,1/1 developed NEC at 3 days of age; known maternal/neonatal NEC risk factors excluded by authors,"not applicable (thrombocytopenia, not haemolysis, is the underlying disease)",authors hypothesise a shared thrombotic mechanism linking high-dose IVIG to NEC across alloimmune neonatal conditions,not stated in abstract,not stated in abstract,not assessed,not applicable,Very high risk of bias for causal inference (n=1 case report),"INDIRECT -- extrapolated from a different neonatal alloimmune disease (platelet, not red-cell)",Very Low,downgraded for indirectness (wrong disease -- FNAIT not HDFN) and very serious imprecision (n=1),not stated in abstract,included specifically because the task brief asks for extrapolation across related alloimmune neonatal conditions to be flagged rather than silently excluded or silently included,Y,2332014,10.1007/BF02009666,"Earliest identified case report proposing the IVIG-thrombosis-NEC mechanistic chain, predating Navarro 2009's (E5) histopathological confirmation by 19 years"
E12,Freyne_2011,not stated in available record (letter; ADC Fetal & Neonatal Edition),not stated in abstract,NICU,"Cohort (retrospective review of FBC parameters), reported as a letter",5-year period (exact years not stated in available record),74 (33 IVIG / 41 no-IVIG; 58 total IVIG doses),Rhesus disease,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated (58 doses across 33 patients implies repeat dosing),not stated in abstract,not stated in abstract,not stated in abstract,phototherapy alone / no-IVIG comparison group,not stated,haematological (FBC) parameters and safety profile of IVIG,no reported adverse effects at time of transfusion; refractory anaemia requiring readmission not modified by IVIG,,,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,not stated in abstract,0/33 IVIG-treated infants developed NEC; the sole NEC case in the whole cohort (1/41) occurred in the NON-IVIG group,none reported at time of transfusion,"statistically (not clinically) significant shifts in some individual white-cell parameters pre/post dose, not sustained over the course of treatment",not assessed,not stated in abstract,not assessed,not applied,"High risk of bias (retrospective, letter/short-report format, methods underreported)",Direct (Rhesus disease; postnatal),Very Low,"downgraded for risk of bias (retrospective, letter format, methods underreported) and imprecision (single NEC event, occurring in the non-IVIG arm)",not stated in abstract,"PubMed's own abstract field is empty for this record; descriptive content sourced via the Consensus MCP tool's excerpt of the same published letter, with PMID/DOI independently verified via PubMed this session","Y (abstract not available on PubMed; content via Consensus excerpt, identifiers PubMed-verified)",22171016,10.1136/archdischild-2011-300446,"One of the few studies where the sole NEC case occurred in the NON-IVIG arm -- directly counter to the Figueras-Aloy/Yang signal, reinforcing Li 2022's (E3) null finding"
