id,author_year,country,setting,level_of_care,design,n_patients,n_events,population_detail,intervention,comparator,outcomes_measured,primary_result,effect_size,ci_lower,ci_upper,p_value,secondary_results,ascertainment_method,rob_tool,rob_domains,rob_overall,directness,grade_certainty,grade_reason,funding,conflicts,key_limitation,abstract_only,pmid,doi,notes,domain,fortifier_type,fortification_definition,subgroup_flag,bmf_terminology_check
D5-02,Hopperton/O'Connor 2019 (18-month follow-up),Canada (Ontario),multi-site NICU follow-up,tertiary,Follow-up of RCT (18-month corrected age),"127 randomised, 109 (86%) assessed",,"infants born weighing <1250g, fed maternal milk + donor milk",Human milk-based fortifier (HMBF),Bovine milk-based fortifier (BMBF),"Bayley-III cognitive, language, motor composite scores at 18 months corrected age; death or neurodevelopmental impairment/disability",No statistically significant difference between HMBF and BMBF on any Bayley-III composite score,"Cognitive: 94.7 (HMBF) vs 95.9 (BMBF), MD -1.1",-6.5,4.4,NS for all three composite domains,No difference in proportion with death or neurodevelopmental impairment/disability between groups,"Bayley-III at 18mo CA, triple-blind parent trial (NCT02137473)",not specified,14% attrition to follow-up,"low-moderate (blinded parent RCT, modest attrition)","DIRECT, Tier (i) — fortifier TYPE was randomised (not timing/dose) and outcome is formal Bayley-III, not surrogate",Moderate,Blinded RCT follow-up with validated ND instrument; downgraded slightly for single-country setting and moderate sample size limiting precision,not reported in abstract,not reported in abstract,"Directly answers 'does fortifier SOURCE (human vs bovine) affect neurodevelopment' — answer is no, at 18 months; this is a different question from Klamer 2022's 'does fortifying at all vs not' question",No,32154499,10.1093/cdn/nzz129,"Follow-up of the O'Connor 2018 AJCN RCT (D8- entry below); BMBF here explicitly = bovine milk-based fortifier, the brief's reserved 'BMF' sense",5,human-milk-derived vs bovine-derived (explicit HMBF vs BMBF comparison),commenced at 100 mL/kg/d feeds,general VLBW (<1250g),"Uses BMBF = bovine milk-based fortifier, matching the brief's Section 4 reserved sense of BMF — flagged correctly"
D5-03,Rochow 2025 (target fortification ND),Germany (Nuremberg-affiliated / multicentre),hospital NICU + follow-up,tertiary,Double-blind RCT with 18-month follow-up,69 (assessed at 18 months),,preterm infants <30 weeks gestation,"Target (individualised) fortification (TFO), macronutrients analysed 3x/week",Standard fixed-dose fortification (SF),"weight gain, growth velocity, body composition at 36wk PMA; Bayley-III at 18 months CA","TFO significantly increased weight gain and growth velocity; Bayley-III scores numerically higher across cognitive/language/motor domains in TFO group, mostly not reaching statistical significance except expressive language in a subgroup","Weight gain 2514+/-289g (TFO) vs 2283+/-332g (SF), P<0.01; growth velocity 21.7+/-2.3 vs 19.2+/-2.2 g/kg/d, P<0.001",,,P<0.01 (weight); P<0.001 (growth velocity); most Bayley-III domain comparisons NOT significant,"Motor BSID-III score <=70 in 0 (TFO) vs 3 (SF) infants, P<0.05; expressive language significantly higher in TFO for infants whose mother's milk had high protein","double-blind RCT, mid-infrared milk analysis 3x/week, Bayley-III at 18mo",not specified,"small sample (n=69 at follow-up), multiple subgroup comparisons risk of chance findings","moderate (small N, multiple subgroup tests)","DIRECT, Tier (i) — fortification approach (targeted vs standard) was randomised with a formal Bayley-III endpoint",Low,"Small single/few-centre trial (n=69), most ND comparisons not statistically significant (authors themselves note this), risk of selective emphasis on significant subgroup findings",not reported in abstract,not reported in abstract,"Authors explicitly state 'most BSID-III differences were not statistically significant' — must not be over-sold as a positive ND trial; growth benefit is clear, ND benefit is not",No,40507033,10.3390/nu17111764,"Cross-referenced in Domain 8 (targeted/individualised fortification) — same trial, two relevant domains",5,targeted-adjustable (modular protein/carb/fat additions guided by milk analysis),"individualised, guided by 3x/week milk macronutrient analysis, for >=3 weeks",general preterm <30wk,Does not use BMF abbreviation
D5-04,Jensen 2021 (N-forte protocol),Sweden (24 units),multicentre NICU,tertiary,RCT protocol (published a priori),planned 222-322,N/A (protocol),extremely low gestational age (<28wk) infants exclusively fed human milk,Human milk-based fortifier (HMBF),Standard bovine-based fortifier (BMBF),Primary: composite NEC/sepsis/mortality. Planned follow-up: neurological development and growth at 2 and 5.5 years,"N/A — protocol paper, no results",,,,,Health economic analyses also planned,"ICH/GCP, ethics-approved multicentre protocol",N/A (protocol),,N/A,"N/A (protocol, not yet reporting long-term ND results)",N/A — no results yet to grade,Protocol only; the planned 2- and 5.5-year neurodevelopmental follow-up has NOT yet been published as of this search (2026-09-12),"ALF grant, Prolacta Bioscience, Swedish Research Council, Research Council for Southeast Sweden (per the linked results paper's funding statement)",Prolacta Bioscience funding is a potential conflict given HMBF is a Prolacta-type product — flag explicitly,"This is the brief's single most important 'what would change practice' identified trial for Domain 5 — its ND follow-up, if and when published, would be the first adequately-designed long-term ND readout for fortifier TYPE in extremely preterm infants",No,34815288,10.1136/bmjopen-2021-053400,"NCT03797157. Short-term composite results already published (see D3/D8 N-forte entry, Jensen 2024, PMID 38545091) — ND follow-up specifically still pending",5,human-milk-derived vs bovine-derived,"before 100 mL/kg/day feeds, continued to 34+0 weeks PMA",extremely preterm <28wk,Explicitly defines HMBF vs BMBF (bovine milk-based fortifier) — matches brief's Section 4 reserved BMF sense exactly
D5-05,"O'Connor 2016 (JAMA, donor milk vs formula)","Canada (Ontario, 4 sites)",NICU,tertiary,Pragmatic double-blind RCT,"363 randomised, 299 (92%) assessed",,"VLBW infants, donor milk or formula as supplement to mother's milk (background HMF use not specified as the randomised variable)",Donor human milk (as supplement to MOM),Preterm formula (as supplement to MOM),"Bayley-III cognitive composite score at 18 months corrected age (primary); language, motor composites; growth; mortality/morbidity index","No significant difference in cognitive, language or motor composite scores between donor-milk and formula supplementation groups","Cognitive: 92.9 vs 94.5, MD -2.0",-5.8,1.8,NS,No difference in mortality/morbidity index or growth z-scores,"Bayley-III at 18mo CA, double-blind RCT",not specified,8% loss to follow-up,low (well-conducted blinded RCT),"INDIRECT for the fortification question specifically — TIER (ii) per brief's taxonomy: this trial randomises donor-milk-vs-formula SUPPLEMENTATION, not fortification; any HMF exposure in either arm is a background co-intervention, not the randomised variable",Moderate (for its own donor-milk-vs-formula question); NOT applicable as fortification-specific evidence,"Well-conducted RCT for its actual question (donor milk vs formula), but indirect/non-applicable to fortification per se — included here explicitly as the brief's example of a Tier-ii paper to illustrate the directness distinction, not as fortification evidence",not reported in abstract,not reported in abstract,"Must not be miscited as fortification evidence in the eventual manuscript — its relevance is solely to the donor-milk-vs-formula-supplementation question, and it is flagged here specifically to demonstrate correct Tier-ii labelling",No,27825008,10.1001/jama.2016.16144,isrctn.org ISRCTN35317141. Named explicitly in the brief's Domain 5 description as the type of trial to Tier as 'reports ND without fortification being randomised',5,not the randomised variable (background HMF use likely present but not specified),N/A — not a fortification trial,general VLBW,N/A
D5-06,Ericson 2023,Sweden,"longitudinal cohort, community follow-up",tertiary (original) + community,Longitudinal cohort study,"142 (43 exclusive breast milk, 99 fortified breast milk and/or formula)",,"moderately preterm infants, 32-36 weeks gestational age",Fortified breast milk and/or formula during NICU stay (observational exposure),Exclusive breast milk (unfortified),"neurological, growth and health outcomes to 6 years of age (FTF questionnaire, growth records, health-care visit data)","No statistically significant differences in neurological outcomes, growth, or health at 6 years between exclusive vs fortified/formula-fed groups",not itemised numerically in abstract (null finding across measures),,,NS across measures,Authors explicitly call for larger studies given the modest sample size,"parent/medical-record questionnaires to 6 years, retrospective medical-record extraction of neonatal exposures",not specified (observational),"non-randomised exposure groups (fortification/formula use was clinically indicated, not randomly assigned) — confounding by indication likely (sicker/slower-growing infants more likely fortified)","high risk of bias (confounding by indication, small sample)","Direct population (moderately preterm) but Tier (ii)/(iii) — observational, non-randomised fortification exposure, and this is a MODERATELY preterm (32-36wk) population, less severe than the VLBW/extremely preterm focus of most other Domain 5 evidence",Very low,"Observational design with likely confounding by indication (fortification decisions track with clinical concern, not randomisation) plus small sample = serious risk of bias and imprecision",not reported in abstract,not reported in abstract,A reassuring null finding but cannot distinguish 'fortification is safe' from 'sicker babies who needed fortification caught up regardless' — confounding by indication is a first-order concern,No,37242201,10.3390/nu15102318,Different population (moderately preterm 32-36wk) from the VLBW/extremely-preterm focus of most other Domain 5 papers — flagged as a directness/population caveat,5,not specified (mixed fortified/formula),"not specified (observational, NICU-stay exposure)","none specified (moderately preterm, not VLBW-specific)",N/A
D6-01,Herranz Barbero 2020,Spain,hospital NICU laboratory analysis,tertiary,Laboratory/observational osmolality measurement study,not a patient-outcome study (milk-sample based),,human milk samples with fortifier added at varying concentrations,Fortifier addition to human milk (varying doses/products),Unfortified human milk / varying fortifier doses,measured osmolality of fortified vs unfortified human milk,Fortification increases milk osmolality in a dose-dependent manner (mechanistic/measurement study),not a clinical effect size — laboratory osmolality values,,,not applicable in the clinical-outcome sense,,direct osmometry of milk samples,N/A (not a clinical trial),,N/A,"MECHANISTIC ONLY — measures osmolality, does NOT measure clinical GI outcomes (constipation, NEC); must not be used to imply a validated clinical harm signal","N/A (mechanistic/laboratory study, not amenable to GRADE for an interventional clinical claim)",Laboratory measurement study; the brief specifically requires this NOT be conflated with a validated clinical-outcome link,not reported in abstract,not reported in abstract,"Per brief's explicit instruction: osmolality data (this paper) must be reported separately from and not assumed to prove a clinical constipation/NEC link — the AAP 450 mOsm/kg threshold is a consensus safety ceiling, not RCT-validated against hard outcomes",No,32479524,,"PLoS ONE 2020; DOI not captured from abstract-level metadata, PMID is the verified identifier",6,not specified/mixed (mechanism study),varying concentrations tested,none specified,N/A
D6-02,Choi 2016,South Korea,laboratory/modelling study,N/A,Osmolality prediction model development,N/A (milk-sample/model based),,human milk samples for targeted fortification modelling,Model predicting osmolality from fortification composition,N/A,predictive accuracy of osmolality model for targeted fortification,Develops a prediction model for osmolality under targeted/individualised fortification scenarios,model performance statistics (not a clinical effect size),,,N/A,,modelling/statistical development study,N/A,,N/A,"MECHANISTIC ONLY — model-development study, no clinical outcome data",N/A,Not an interventional clinical study; mechanistic/methodological contribution only,not reported in abstract,not reported in abstract,"Relevant to Domain 8's targeted-fortification discussion as a methodological tool, but contributes no clinical safety/efficacy data itself",No,26863130,,PLoS ONE 2016,6,targeted-adjustable (modelling context),N/A,none specified,N/A
D6-03,Chandran 2016,not specified in abstract-level metadata,laboratory/pharmacy analysis,tertiary NICU context,Osmolality measurement study of medications + fortified milk,N/A (sample-based),,fortified human milk with common NICU medications added,Co-administration of medications with fortified human milk,Fortified human milk alone,osmolality of fortified milk with vs without added medications,Medications commonly added to feeds further increase osmolality beyond fortification alone,"laboratory osmolality values, not a clinical effect size",,,N/A,,direct osmometry,N/A,,N/A,"MECHANISTIC ONLY — identifies an additional, often-overlooked contributor (medications) to total feed osmolality beyond fortifier alone; still no clinical-outcome data",N/A,"Laboratory measurement study, not a clinical-outcome trial",not reported in abstract,not reported in abstract,"Important practical/safety point (medications compound fortifier-driven osmolality) but, like the other osmolality papers, cannot be used to claim a validated clinical harm threshold",No,28030867,,Neonatology 2016,6,not specified,N/A,none specified,N/A
D6-04,Zhang 2022,"China (Southwest, Sichuan)",single tertiary NICU (West China Second University Hospital),tertiary,Retrospective cohort,298,,"preterm infants, HMF-fed vs non-HMF-fed",Human milk fortifier (various initiation practices),No HMF use,feeding intolerance (FI),"No significant overall association between HMF use per se and FI; but early HMF initiation, full-strength initiation, and fast supplementation rate were significant risk factors for FI",threshold effects: HMF concentration >24 mg/mL and supplementation rate >12.5 mg/mL/d significantly increased FI risk (exact thresholds from dose-response/generalized additive modelling),,,P=0.02 (early initiation); P=0.04 (full-strength initiation); P=0.004 (fast supplementation rate),"Authors recommend a specific southwest-China protocol (initiate at 100 mL/kg/day feeds, 1:50 concentration advancing to 1:25 over >38h) differing from some Western guidelines","multivariate analysis, generalized additive models and two-piecewise linear regression for threshold/dose-response effects",not specified (observational),"retrospective, single-centre, residual confounding by indication likely","high risk of bias (retrospective, single-centre, observational)","Direct (preterm, gestational age <32wk or birthweight <1500g) but a single-region observational cohort — population/practice-context generalisability to a UK NICU is uncertain",Very low,"Retrospective single-centre cohort, dose-response modelling from observational (non-randomised) exposure data — serious risk of confounding by indication",not reported in abstract,not reported in abstract,"Directly names dose/rate/timing thresholds for FI risk, more granular than most RCT evidence, but observational — a prospective trial testing these thresholds does not yet exist",No,36364872,10.3390/nu14214610,"Explicitly a dose-response/threshold cohort — useful for hypothesis generation on WHY rapid/early/full-strength fortification might drive intolerance, complementing the RCT-level 'no difference' findings from Thanigainathan/Basu/Shah",6,"not specified (HMF, presumed standard bovine powder given regional context)",varies; identifies concentration >24mg/mL and rate >12.5mg/mL/d as risk thresholds,general preterm,Does not use BMF abbreviation
D6-05,Kappel 2022 (FortiColos bowel habits),Denmark,multicentre NICU,tertiary,RCT (unblinded),242,,"very preterm infants, 26-31 weeks gestation",Bovine colostrum (BC) as fortifier,Conventional bovine-milk-based fortifier (CF),Amsterdam Stool Scale; bowel gas restlessness; stomach appearance score; gastric residual volume/frequency; laxative use/timing,"Stools hardened with increasing fortifier intake in BOTH groups (mechanistic confirmation that fortification itself affects stool consistency), but less so with BC; laxatives prescribed later with BC",not itemised as single effect size in abstract — multiple stool/bowel parameters compared,,,"P<0.01 (stool hardening with fortifier dose, both groups); P<0.05 (BC vs CF difference in hardening); P<0.01 (later laxative use with BC); P<0.01 (stomach appearance improvement, more so with BC)",,"unblinded RCT, standardised stool/bowel scoring tools recorded before each feed to 35wk PMA",not specified,unblinded design,"moderate (unblinded, but outcome measures partly objective)","Direct (very preterm) but compares fortifier PRODUCT (BC vs conventional bovine), not fortify-vs-no-fortify — directly demonstrates that fortification dose, not just presence/absence, drives stool hardening",Low,"Single unblinded RCT, product-comparison design (imprecision for the broader fortify-vs-not question), though internally consistent dose-response signal",not reported in abstract,not reported in abstract,"One of the few RCTs to capture constipation/stool-consistency as a NAMED, prospectively measured outcome rather than subsuming it under 'feeding intolerance' — directly relevant to the brief's instruction to check how constipation is captured",No,36432444,10.3390/nu14224756,"FortiColos Study; demonstrates stool hardening scales with fortifier DOSE regardless of product, addressing the brief's Domain-6 question about whether constipation is a real, measurable fortification-associated phenomenon",6,bovine colostrum vs conventional bovine powder/liquid,increasing intake to 35wk PMA,general very preterm,"N/A (neither arm is human-milk-derived; both are bovine-sourced products, distinguished by colostrum vs conventional processing)"
D7-01,"Young 2016 (Cochrane, post-discharge nutrient-enriched FORMULA)",multiple (Cochrane),"post-discharge, community + hospital",mixed,Cochrane systematic review (16 RCTs),1251,,preterm infants at/after hospital discharge,"Nutrient-enriched formula (postdischarge formula ~74kcal/100mL, or preterm formula ~80kcal/100mL)",Standard term formula (~67kcal/100mL),growth to 12-18 months post-term; neurodevelopmental indices at 18 months,"'Postdischarge formula' vs standard term formula: no consistent growth effect. 'Preterm formula' vs standard term formula: higher growth rates through infancy (weight ~500g, length 5-10mm, HC 5mm higher at 12-18mo)","Preterm-formula-vs-standard: ~500g weight, 5-10mm length, 5mm HC differences at 12-18mo (moderate-quality per Cochrane GRADE)",,,not itemised individually in abstract,Few trials assessed ND outcomes; no ND differences detected at 18 months in those that did,"Cochrane Neonatal standard methods, GRADE",Cochrane RoB,lack of allocation concealment and incomplete follow-up flagged as major bias sources,Moderate certainty overall (per Cochrane's own GRADE),"IMPORTANT SCOPE CAVEAT: this Cochrane review is about post-discharge FORMULA (a different intervention), NOT continuing human-milk-based HMF at home on breastfed infants — per brief Section 4/7 instruction, this must be kept clearly separate from the genuine 'continue HMF at home' literature",Moderate,Per Cochrane authors' own GRADE assessment; downgraded for allocation-concealment and follow-up completeness concerns,Cochrane Neonatal,none declared,"Frequently conflated in secondary sources with 'continuing HMF at home' — explicitly flagged here as a DIFFERENT intervention (formula-based, for formula-fed infants) per the brief's Section 7 instruction",No,27958643,10.1002/14651858.CD004696.pub5,"CD004696.pub5 (2016) — this is the 'nutrient-enriched formula' Cochrane line, distinct from the 'multinutrient fortification of human milk following discharge' line the brief also names; kept explicitly separate here",7,"N/A — nutrient-enriched FORMULA, not human-milk fortifier","N/A (formula product, not added fortifier)",general preterm,N/A — wrong intervention type for BMF/HMF terminology to apply
D7-02,Zachariassen 2011,Denmark,"multicentre, community follow-up",tertiary (original) + community,RCT,"320 total cohort; 207 breastfed randomised (102 unfortified, 105 fortified); 113 formula-fed (non-randomised comparison group)",,"very preterm infants, GA 24-32wk, birthweight 535-2255g","Fortified mother's milk, from shortly before discharge to 4 months corrected age","Unfortified mother's milk (randomised); separately, preterm formula (non-randomised comparison group C)",breastfeeding duration; weight/length/HC at 12 months corrected age,No significant difference in growth parameters between fortified and unfortified MOM groups at 12 months; breastfeeding duration not significantly affected by fortification,"not itemised as single pooled effect (multiple growth parameters compared, all NS between A vs B)",,,"NS (weight, length, HC, groups A vs B)",Formula-fed group (C) grew larger than both breastfed groups by 12 months (boys especially); higher protein intake correlated with higher serum urea nitrogen and growth,RCT (A vs B) with non-randomised comparison arm (C); follow-up to 12 months CA,not specified,comparison group C is non-randomised (confounded by feeding-method choice),low-moderate for the randomised A-vs-B comparison; high for the A/B-vs-C comparison (non-randomised),"Direct (very preterm, post-discharge fortification of MOM) — this IS a genuine 'continue HMF at home' RCT, distinct from D7-01's formula-based intervention",Low,"Single RCT, modest size for the randomised comparison (102 vs 105), no growth benefit detected — imprecision plus a possible underpowering to detect a modest effect",not reported in abstract,not reported in abstract,Null result for post-discharge HMF vs no HMF on growth — directly complements Klamer 2022's null IQ finding from what may be an overlapping or related trial tradition; both point the same direction (no clear post-discharge fortification benefit),No,21402642,10.1542/peds.2010-0723,"THE genuine 'continue fortified human milk at home' RCT the brief specifies, correctly distinguished from the Cochrane 'nutrient-enriched formula' line (D7-01)",7,"not specified (multinutrient HMF, presumably standard bovine-based, era-appropriate)",from shortly before discharge to 4 months corrected age,general very preterm,Does not use BMF abbreviation
D7-03,Marino 2018,UK,single tertiary surgical neonatal unit,tertiary/surgical,Quality improvement project (PDSA cycles) + retrospective audit,not stated as a fixed trial N (QI project across sequential cohorts; audit period July 2015-Sept 2017),,"exclusively breastfed preterm infants, birthweight <=1.8kg","Home use of breast milk fortifier (BMF, brief's colloquial 'BMF'=breast milk fortifier sense) post-discharge to 48 weeks GA","Historical baseline cohort (pre-QI, Oct2012-Nov2013)","change in SD score (cSDS) for weight/length/HC at discharge and to 1 year; safety, feasibility, parental acceptability",Improved growth trajectory (cSDS) at discharge and at 1 year following QI-driven introduction of home BMF; deemed safe and acceptable to parents,"cSDS at discharge: weight -0.7, HC 0.4, length -0.8; at 1 year: weight 0.9, length 0.8 (change from historical baseline)",,,"not itemised numerically in abstract (QI/audit design, not powered hypothesis testing)",Four PDSA cycles used to iteratively develop and refine an electronic patient information sheet,retrospective audit vs historical baseline; parent questionnaires for safety/acceptability,"N/A (QI methodology, not a trial)","before-after (historical control) design — high risk of secular-trend confounding, no concurrent control, single centre","high risk of bias (QI/before-after design, not randomised)","Direct population and intervention (genuine home BMF/HMF continuation) but WEAK STUDY DESIGN — before-after QI audit, not a controlled trial; effect size cannot be attributed to the intervention alone with confidence",Very low,Before-after QI project without concurrent control — serious risk of bias from secular trends and lack of randomisation; useful for feasibility/safety/acceptability but not for efficacy inference,not reported in abstract,not reported in abstract,"Uses 'BMF' explicitly in its own title as 'breast milk fortifier' (the brief's colloquial, NOT the bovine-milk-fortifier sense) — correctly flagged per the bmf_terminology_check column to avoid mis-extraction",No,30552093,10.1136/archdischild-2018-315951,UK QI project named explicitly in the brief; demonstrates feasibility/acceptability of home BMF but is not RCT-level efficacy evidence,7,"bovine powder (standard commercial HMF, used in the brief's colloquial 'BMF' sense)",post-discharge to 48 weeks gestational age,general preterm <=1.8kg,USES 'BMF' TO MEAN BREAST MILK FORTIFIER (brief's colloquial sense) — NOT bovine milk-based fortifier; flagged explicitly to prevent confusion with the Jensen/N-forte usage
D7-04,Lamport 2023,USA,single NICU + outpatient follow-up,tertiary,Retrospective cohort (historical comparison),"127 (92 HMF-continuation group, 35 historical formula-enrichment comparison group)",,"preterm infants <34 weeks gestation, exclusively expressed human milk (EHM)-fed, fortified with HMF 2 weeks before discharge",Continuing HMF fortification of EHM at home after discharge,Historical comparison: enriching/supplementing with post-discharge formula (2-3 feeds/day or formula-powder enrichment),rate of human-milk exclusivity after discharge; rate of any EHM feeding; growth (Fenton z-scores for weight/length/HC),HMF-continuation group had significantly higher human-milk exclusivity at both outpatient visits; growth did not differ significantly between strategies,"HM exclusivity: 83% vs 39% (first visit), 27% vs 6% (second visit)",,,significant for HM exclusivity/any-EHM-feeding rates; NS for growth (Fenton z-scores),,"retrospective chart review, historical comparison group",not specified (observational),historical (non-concurrent) comparison group; single centre; practice-change confounded with secular trend,"high risk of bias (retrospective, historical control)",Direct population/intervention — the brief's genuine 'continue HMF at home vs formula-based enrichment' comparison,Very low,"Retrospective, historical-control design; growth outcome null but breastfeeding-rate outcome favourable — single-centre generalisability uncertain",not reported in abstract,not reported in abstract,"Growth-neutral, breastfeeding-positive finding — an important nuance: the benefit of continuing HMF at home (vs formula enrichment) may be preserving human-milk feeding rates rather than accelerating growth per se",No,38072151,10.1016/j.tjnut.2023.12.003,"Explicitly the 'continue EHM fortification with HMF after NICU discharge, rather than formula enrichment' comparison the brief specifies, correctly separated from the Cochrane nutrient-enriched-FORMULA line (D7-01)",7,"bovine powder (commercial HMF, continued from in-hospital use)","continued from 2 weeks pre-discharge, home use post-discharge",general preterm <34wk,"Does not use BMF abbreviation; uses HMF throughout, matching brief's working convention"
D7-05,Teller 2016,multiple (evidence-mapping review),"post-discharge, community",mixed,"Evidence-mapping systematic review (31 studies, PICO-mapped, no meta-analysis)","varies by included study, not pooled",,"preterm infants post-discharge, heterogeneous populations across included studies",Nutrient fortification of breast milk OR nutrient/energy-rich formula post-discharge (both intervention types mapped),"Standard/unfortified feeding, heterogeneous across studies","growth and neurodevelopment, mapped for heterogeneity in design/outcome rather than pooled","Nutrient-enriched diets post-discharge show no negative effects and frequently improve growth at some point, particularly in boys; neurodevelopmental improvements RARELY seen","not pooled (evidence-mapping methodology, not meta-analysis)",,,not applicable (mapping review),Higher protein-to-energy ratios associated with increased lean-mass accretion and 1-year head circumference in the mapped literature,systematic PICO evidence-mapping across 31 studies,not a formal RoB synthesis (mapping methodology),marked heterogeneity in study design/intervention/outcome across the 31 mapped studies,not applicable/not graded (mapping review),"Mixed — deliberately spans BOTH the human-milk-fortification and the formula-enrichment post-discharge literatures, which the brief requires kept separate for anything beyond this overview-level mapping paper",N/A (evidence-mapping methodology does not produce a single pooled GRADE certainty),"Explicitly a mapping/heterogeneity-characterisation exercise, not a pooled effect-size synthesis",not reported in abstract,not reported in abstract,"Useful ONLY as a scoping/heterogeneity overview for Domain 7 — its 'improves growth, rarely improves ND' headline finding should not be misattributed as a HMF-specific pooled result, since it mixes formula and HMF interventions",No,26499034,10.1016/j.clnu.2015.08.006,"Cited explicitly in the brief's Domain 7 seed list; used here for context/heterogeneity framing only, not as a source of a specific effect size",7,mixed (both HMF and formula-based enrichment mapped together),heterogeneous across 31 mapped studies,general preterm,"N/A (mapping review, not fortifier-type-specific)"
D8-01,Seliga-Siwecka 2023,Poland,NICU (interrupted multicentre trial),tertiary,"RCT, STOPPED EARLY for safety/intolerance",39 randomised (of planned 220),5 cases of serious intolerance leading to trial interruption,preterm infants <=32 weeks gestation,Tailored/targeted fortification with modular protein/carbohydrate/lipid components,Standard fixed-dose HMF (Nutricia),velocity of weight gain during supplementation (primary); length; head circumference,TRIAL INTERRUPTED due to serious intolerance in 5 cases before reaching planned enrolment (220); no significant difference in weight-gain velocity in the truncated analysis,Weight gain velocity 27.01+/-10.19 g/d (tailored) vs 25.84+/-13.45 g/d (standard),,,"P=0.0776 (NS, but trial massively underpowered due to early stopping)",Length and head circumference not significantly different between groups,RCT stopped early per safety monitoring; NCT03775785,not specified,early stopping for harm = high risk of bias/imprecision by design (severely underpowered),high risk of bias (trial stopped after 18% of planned enrolment),Direct (preterm <=32wk),Very low,"Trial stopped early for safety — severe imprecision (39/220 planned) and the safety signal itself (5 serious intolerance events) is the headline finding, not the underpowered null efficacy comparison",not reported in abstract,not reported in abstract,"THE brief's flagged 'high-priority null/harm signal, not a footnote' — targeted/individualised fortification using MODULAR components was not feasible in routine NICU practice in this trial and caused serious intolerance; must be given full prominence, not buried",No,36771325,10.3390/nu15030619,Authors' own conclusion: 'feasibility of targeted fortification to be limited in neonatal intensive care unit practice' — a direct caution against uncritical adoption of modular targeted fortification,8,targeted-adjustable (modular protein/carbohydrate/lipid components),from 80 mL/kg/day enteral feeds,general preterm <=32wk,N/A
D8-02,Schanler 2018,USA (multicentre),NICU,tertiary,RCT,164,metabolic acidosis 27% (acidified) vs 5% (non-acidified),"preterm infants <=32 weeks gestation, birthweight 700-1500g",Acidified liquid human milk fortifier,Non-acidified liquid human milk fortifier,weight gain (primary); vomiting; gastric residuals; metabolic acidosis; abdominal distension; BUN,No significant difference in overall weight gain days 1-29; but non-acidified fortifier showed significantly GREATER early (day1-15) weight gain and dramatically less metabolic acidosis and poor feeding tolerance,"Weight gain d1-29: 16.4+/-0.4 (acidified) vs 16.9+/-0.4 g/kg/d (non-acidified, NS); d1-15: 15.2 vs 17.9 g/kg/d",,,"P=.001 (early weight gain); P=.018 (vomiting); P=.022 (gastric residuals); P<.001 (metabolic acidosis); P=.015 (abdominal distension, protocol-evaluable)","Acidified group received more protein (4.26 vs 4.11 g/kg/d, P=.0099) but had LOWER BUN (P=.010), suggesting altered protein handling/metabolic stress with the acidified product",prospective controlled parallel multicentre RCT; NCT02307760,not specified,"not blinded to product type in some assessments (implied, not stated explicitly)",moderate,"Direct (preterm, product-comparison)",Moderate,"Single but adequately-sized multicentre RCT (n=164) with a clear, consistent, dose-plausible safety signal (metabolic acidosis) — a well-defined harms finding, though not replicated by a second independent trial",not reported in abstract,not reported in abstract,"THE key acidified-vs-non-acidified safety signal named in the brief — metabolic acidosis and poorer early growth with the acidified product is a clear, clinically actionable harms finding that could be missed if search is framed only around 'dose' rather than product chemistry",No,30195561,10.1016/j.jpeds.2018.07.005,"Directly informs product-selection practice: avoid acidified liquid HMF where a non-acidified alternative exists, on current single-trial evidence",8,bovine liquid acidified vs bovine liquid non-acidified,from study day 1 (first day of fortification) for 29 days or discharge,general preterm <=32wk,N/A
D8-03,Lin 2020,Taiwan,single tertiary NICU,tertiary,Before-after quality-improvement cohort with 2-year follow-up,"73 (37 Period-I, 36 Period-II)",,extremely low birthweight (ELBW) preterm infants,"Concentrated preterm formula (CPF, Similac Special Care 30) used as a liquid HMF at initiation (100 mL/kg/day), stepping down to powdered HMF as tolerance improved",Historical Period-I cohort (powdered HMF from the outset),daily enteral milk intake; % fortification achieved; weight z-score at term-equivalent age; 24-month language and motor performance,"Period-II (CPF strategy) had higher enteral intake and higher % fortification in first 8 weeks, better weight z-score at term, and better 24-month language/motor scores",Weight z-score improvement P=0.04; language P=0.048; motor P=0.032 at 24 months,,,P=0.04 (weight); P=0.048 (language); P=0.032 (motor),,before-after QI cohort comparison with structured 24-month developmental follow-up,not specified,"before-after (historical control) design — secular-trend confounding, single centre, small numbers","high risk of bias (non-randomised, historical control, small n)","Direct population (ELBW) but Tier (iii)/weak-design evidence for the neurodevelopmental claim — QI cohort, not RCT",Very low,"Before-after design without randomisation or concurrent control; small numbers (n=36-37/group); 24-month ND findings are exploratory/hypothesis-generating, not confirmatory",not reported in abstract,not reported in abstract,"Positive ND signal here is from the weakest study design in the Domain 8 evidence set — must not be given equal weight to the RCT-level findings (e.g., Seliga-Siwecka's null/harm signal) in the same domain",No,32722642,10.3390/nu12082229,"Rescue/alternative strategy for feed-intolerant ELBW infants per the brief's framing — reported as a QI success story, appropriately downweighted for design",8,concentrated preterm formula (used as liquid fortifier) transitioning to powdered HMF,"CPF introduced at 100 mL/kg/day, stepped down through 3 defined stages to powdered HMF",extremely preterm/ELBW,N/A
