id,author_year,country,setting,level_of_care,design,n_patients,n_events,n_clinicians,population_detail,intervention,comparator,outcomes_measured,primary_result,effect_size,ci_lower,ci_upper,p_value,secondary_results,ascertainment_method,rob_tool,rob_domains,rob_overall,directness,grade_certainty,grade_reason,funding,conflicts,key_limitation,abstract_only,pmid,doi,notes,gestational_age_range,glucose_threshold_used,glucose_measurement_method,outcome_timepoint,dose_response_reported
A5,Giouleka 2023,Greece/UK (review authors; guidelines reviewed are international),not applicable (descriptive review of published guidelines),not applicable,descriptive/narrative comparative review of clinical practice guidelines,not applicable (6 guidelines compared: AAP 2011; BAPM 2017; EFCNI 2018; Queensland/AUS 2019; CPS 2020; PES 2015),not applicable,not applicable,not a patient population - guideline documents compared,not applicable,not applicable,comparison of guideline recommendations on diagnosis/screening/thresholds/management of neonatal hypoglycaemia across 6 medical societies,"guidelines converge on risk factors, clinical signs, and preventive strategies but diverge substantially on specific numeric thresholds, target ranges, and treatment protocols","not applicable (descriptive comparison, no pooled effect size)",not applicable,not applicable,not applicable,BAPM specific values extracted: transitional/screening range 1.0-1.9 mmol/L (18-34 mg/dL) asymptomatic; therapeutic goal >2.0 mmol/L (36 mg/dL); severe hypoglycaemia <1.0 mmol/L (18 mg/dL); persistent hypoglycaemia (beyond 48h) <2.6 mmol/L (47 mg/dL) on >3 occasions; post-critical-sample target >3.0 mmol/L; POC device accuracy caution range 0-2.0 mmol/L (0-36 mg/dL),descriptive review of publicly available guideline documents (not a systematic review with formal quality appraisal),"not applied (guideline-comparison narrative review, no ROB tool used by original authors)",,not applicable (secondary/tertiary source used here because primary bapm.org access was blocked this session),indirect (with respect to BAPM primary text) - this is a peer-reviewed SECONDARY characterisation of BAPM's grey-literature content used because direct bapm.org retrieval was blocked by this session's network egress proxy; internally consistent with a second independent secondary source (Rusu 2026/A6) on the persistent-hypoglycaemia definition,Very low (as a description of BAPM's actual current primary text),risk of bias/indirectness - indirect citation of a grey-literature primary source (BAPM 2017) via a secondary peer-reviewed characterisation rather than primary-document retrieval; corroborated in part by an independent second secondary source but not by primary verification,not extracted,not extracted,single most important limitation flagged in this domain's synthesis - numbers require re-verification against bapm.org directly when access is available,N,37508719,10.3390/children10071220,USED AS VERIFIED SECONDARY SOURCE for BAPM's exact numeric thresholds because bapm.org itself returned EGRESS_BLOCKED on WebFetch this session - full text retrieved via PMC10378472 and grepped for all BAPM-specific threshold statements,not specified (guideline scope comparison; BAPM's own guideline scope explicitly full-term only per its resource-page title),multiple values by guideline and clinical scenario - see notes/outcomes_measured columns (BAPM range 1.0 mmol/L/18 mg/dL to >3.0 mmol/L depending on scenario),"not applicable (guideline-text comparison, not primary glucose measurement)",not applicable,not applicable
A6,Rusu 2026,Romania/Poland (review authors; guidelines reviewed are international incl. BAPM UK),not applicable (systematic review of published guidelines),not applicable,systematic review of clinical practice guideline frameworks,not applicable (guidelines: AAP; BAPM; PES; CPS; Te Tohu Waihonga New Zealand; Australian state-based guidance),not applicable,not applicable,not a patient population - guideline documents compared,not applicable,not applicable,comparison of screening protocols/operational thresholds/treatment strategies/recommendations for persistent hypoglycaemia across major guideline frameworks,"no universal agreement on timing of first blood glucose measurement, screening frequency, or minimum treatment threshold during the transitional period; contemporary guidelines converge on 40% oral dextrose gel as first-line therapy in selected cases; guidelines converge on a distinct >48-72h 'persistent hypoglycaemia' category requiring critical sample, higher target, and endocrine-metabolic evaluation",not applicable (descriptive/narrative synthesis due to guideline heterogeneity),not applicable,not applicable,not applicable,"explicit statement: 'Persistent Hypoglycemia (>48-72 h): Obtain critical sample; target higher glucose levels; initiate endocrine-metabolic evaluation' as a cross-guideline consensus recommendation, not BAPM-specific numeric values",narrative synthesis of guideline documents published up to March 2026,not applied,,"not applicable (secondary source for cross-guideline consensus, not BAPM-specific numbers)","indirect (cross-guideline synthesis; does not isolate BAPM-specific numeric values in the extracted text, only the general >48-72h persistent-hypoglycaemia management principle which BAPM shares)",not GRADEable as BAPM-specific (corroborating secondary source for a general cross-guideline principle),used only to corroborate the existence and general management principle of the >48-72h persistent-hypoglycaemia category also reported for BAPM specifically via Giouleka 2023 (A5); not used for BAPM-specific numeric thresholds,not extracted,not extracted,does not provide BAPM-specific numeric thresholds in the extracted full-text passages; corroborative for the general persistent-hypoglycaemia management principle only,N,42194883,10.3390/jcm15103921,Full text retrieved via PMC13207171; independently corroborates the >48-72h persistent-hypoglycaemia distinct-category concept found in Giouleka 2023 (A5) and Kebede 2025 (A4),not specified (guideline scope comparison across gestational-age criteria set by each individual guideline),not BAPM-specific in extracted text; corroborates >48-72h persistent hypoglycaemia as a distinct guideline-wide category,not applicable (guideline-text comparison),not applicable,not applicable
B1,St Clair 2024,New Zealand (review of international studies),"Liggins Institute, University of Auckland (review base)",n/a (systematic review),systematic review and meta-analysis,71 studies (31 in quantitative analysis),not applicable (diagnostic accuracy review),not extracted,neonates at risk of hypoglycaemia across included studies,point-of-care glucose device methodologies (GO/GDH/HK x photometry/electrochemistry),standard laboratory glucose method,sensitivity and specificity of POC methods vs laboratory reference,HK+electrochemistry most accurate; all methods specificity >=93%,not a single pooled effect size (hierarchical random-effects diagnostic accuracy model),not reported as single CI,not reported as single CI,not applicable,"GO+electrochemistry, GDH+electrochemistry, HK+electrochemistry showed superior sensitivity to photometric methods",QUADAS-2,QUADAS-2,not extracted per-study,low-moderate (heterogeneous 71-study base),direct - spans multiple neonatal populations,Moderate,imprecision (HK+electrochemistry stratum only 2 studies); indirectness (pooled across heterogeneous reference standards/populations),NIH and non-US-government support (per PubMed record),not extracted,limited studies using best-performing HK+electrochemistry method,N,39675663,10.1016/j.jpeds.2024.114438,PROSPERO CRD42023488539; excluded CGM and pre-1990 studies; the key modern SR for Domain B,mixed (all neonatal GAs across included studies),not a single threshold (accuracy review across chemistries),point-of-care vs laboratory (multiple device chemistries),not applicable,"not applicable (accuracy review, not outcome study)"
B2,Dietzen 2013,USA,three pediatric centers,mixed (NICU and other),prospective evaluation study,575 blood samples,not applicable (diagnostic accuracy study),not extracted,infants <30 days of age; hematocrit 23-70%,modified quinoprotein-resistant glucose dehydrogenase POC chemistry (ACCU-CHEK Inform II/Performa/Aviva),coupled hexokinase reference (perchloric acid extracts),correlation and ROC accuracy for detecting hypoglycaemia,meter=0.99xreference+0.04; r2=0.976,not applicable (regression),not applicable,not applicable,not applicable,100% sensitivity for lab <2.2 mmol/L (40 mg/dL) when meter reading <2.8 mmol/L (50 mg/dL); AUC 0.993; weak hematocrit dependence outside typical neonatal range (45-70%),paired POC meter vs hexokinase lab reference,not applied (accuracy study),,"low-moderate (multicenter, but industry-adjacent device evaluation)",direct - neonatal population across 3 US centres,Moderate,imprecision (single device family); indirectness (hematocrit effect analysis pooled across full 23-70% range not just neonatal-typical),not extracted,not extracted,single device chemistry family tested,N,23931714,10.1089/dia.2013.0160,Establishes 2.8 mmol/L (50 mg/dL) POC cutoff giving 100% sensitivity for this device,<30 days of age (mixed GA),2.2 mmol/L / 40 mg/dL (lab reference for hypoglycaemia),point-of-care vs laboratory (hexokinase),not applicable (accuracy study),not applicable
B3,Kitsommart 2013,Thailand,"Siriraj Hospital, Bangkok (tertiary university hospital)",tertiary NICU,prospective cross-sectional comparative study,172 venous blood samples,not applicable (diagnostic accuracy study),not extracted,infants at risk for neonatal hypoglycaemia with initial low POC glucose,StatStrip (SS) and SureStep Flexx (SF) glucose meters,plasma glucose (central lab),sensitivity/NPV of POC devices at 2.8 mmol/L cutoff; effect of bilirubin/hematocrit,SS sensitivity 94.7% NPV 86.1%; SF sensitivity 100% NPV 100% at 2.8 mmol/L (50 mg/dL) cutoff,mean glucose difference SS 0.21 (SD 0.70) mmol/L; SF -0.04 (SD 0.78) mmol/L,not reported as CI,not reported as CI,not significant (hematocrit/bilirubin correlation),no correlation between mean glucose differences and hematocrit or bilirubin for either device,paired POC vs plasma glucose,not applied (accuracy study),,moderate,direct - at-risk neonates during high-risk screening period,Moderate,"imprecision (172 samples, single centre); indirectness (both devices already flagged as limited screening-only tools by the authors themselves)",not extracted,not extracted,authors conclude both devices have limited use compared to plasma glucose,N,23644649,10.1007/s00431-013-2019-2,Companion/related group to Ngerncham 2011 (same Thai group testing same device pair with different cutoff),1-24 hours of life (at-risk neonates),2.8 mmol/L / 50 mg/dL (device cutoff tested),point-of-care vs laboratory (plasma),not applicable (accuracy study),not applicable
B4,Ngerncham 2011,Thailand,"Siriraj Hospital, Bangkok (tertiary university hospital)",tertiary NICU,prospective study,180 blood specimens from 166 high-risk neonates,not applicable (diagnostic accuracy study),not extracted,high-risk neonates aged 1-24 hours,Nova StatStrip and SureStep glucometers,laboratory plasma glucose,sensitivity/specificity/NPV; cutoff for no-confirmation-needed,StatStrip sensitivity 62% specificity 100%; SureStep sensitivity 53.3% specificity 100%,mean differences 11.2 (SD 8.4) mg/dL (StatStrip); 13.7 (SD 6.8) mg/dL (SureStep),not reported as CI,not reported as CI,not reported,"cutoffs with 100% NPV: 63 mg/dL (3.5 mmol/L) StatStrip, 62 mg/dL (3.4 mmol/L) SureStep; both devices read higher than lab on average",paired POC vs plasma glucose,not applied (accuracy study),,moderate,"direct - high-risk neonates, first 24h",Moderate,"imprecision (single centre, 166 neonates); risk of bias (glucometer cutoffs derived and tested in the same sample - not externally validated)",not extracted,not extracted,explicit conclusion: neither glucometer has sufficient validity to replace laboratory testing; confirmatory testing needed for POC readings 39-63 mg/dL (StatStrip) and 39-62 mg/dL (SureStep),N,22317986,10.1007/s13312-012-0133-2,Derives a materially HIGHER confirmation cutoff (~3.5 mmol/L/63 mg/dL) than BAPM's operative 2.6 mmol/L/47 mg/dL - direct evidence for the (d) tension on confirm-below-X,1-24 hours of life (high-risk neonates),63 mg/dL / 3.5 mmol/L (StatStrip) and 62 mg/dL / 3.4 mmol/L (SureStep) - proposed confirmation cutoffs,point-of-care vs laboratory (plasma),not applicable (accuracy study),not applicable
B5,Roth-Kleiner 2010,Switzerland,"Centre Hospitalier Universitaire Vaudois, Lausanne","neonatal unit (retrospective, 1-year period)",retrospective evaluation study,1324 paired glycaemia results,not applicable (diagnostic accuracy study),not extracted,newborn infants requiring bedside glucose testing,three POCT systems: Elite XL; Ascensia Contour; ABL 735 blood gas analyser,central laboratory hexokinase reference method,agreement with ISO 15197 accuracy criteria,none of the three POCT systems met ISO 15197 accuracy criteria,not a single pooled effect size (device comparison study),not applicable,not applicable,not applicable,all three systems tended to OVERESTIMATE glycaemia; Contour showed important inaccuracy with increasing haematocrit; ABL 735 (blood gas) most accurate but requires >15x more blood volume than handheld glucometers,paired POC/blood-gas vs central lab hexokinase,not applied (accuracy study),,"moderate (large retrospective sample, single centre)",direct - newborn infant population,Moderate,"risk of bias (retrospective, single centre); inconsistency (all 3 systems failed ISO 15197 - a negative finding for the whole class of devices tested)",not extracted,not extracted,none of the 3 tested systems met the accuracy standard applied,N,20574734,10.1007/s00431-010-1243-2,"Systematic OVERESTIMATION - contrasts with Parikh 2025's later finding of systematic underestimation with a different device/era, illustrating inconsistent bias direction across studies (see synthesis d)",newborn infants (GA not further specified in abstract),not a single threshold (accuracy study vs ISO 15197 criteria),point-of-care and blood gas vs laboratory (hexokinase),not applicable (accuracy study),not applicable
B6,Innanen 1997,Canada,"Women's College Hospital, University of Toronto",neonatal intensive care unit,prospective quality-control comparison study,188 split samples,not applicable (diagnostic accuracy study),not extracted,NICU infants undergoing heel-stick glucose testing,Ames Glucometer Elite electrochemical glucose meter,Beckman CX7 central laboratory analyser,regression agreement; detection of Lo (hypoglycaemic) readings,r=0.93; Sy/x=0.59 mmol/L (reduced to 0.45 with on-ice delivery),intercept 0.47 +/- 0.14 mmol/L (1 SEM),not applicable,not applicable,"p<0.0001 (slope 0.91 +/- 0.028, 1 SEM)",29/30 samples read as Lo by Elite were <2.2 mmol/L on CX7 (only 1 was exactly 2.2 mmol/L); imprecision <5% CV at all tested levels,paired heel-stick POC vs central lab,not applied (accuracy study),,moderate,direct - NICU population,Moderate,"imprecision (single-centre, single device); indirectness (pre-dates modern electrochemical hexokinase/GDH devices by 15+ years)",not extracted,not extracted,classic early evidence; on-ice sample delivery reduced discordance from 24% to 8%,N,9003866,10.1016/s0022-3476(97)70326-3,"Historic baseline paper for Domain B; establishes sample-handling (on-ice delivery), not only device chemistry, as a source of accuracy variance",NICU infants (GA not specified),2.2 mmol/L / 40 mg/dL (reference hypoglycaemia threshold used for detection analysis),point-of-care vs laboratory,not applicable (accuracy study),not applicable
B7,Schlebusch 1998,Germany,"University of Bonn, Center for Obstetrics and Gynecology",neonatal setting,comparative evaluation study,not specified (capillary blood from newborns),not applicable (diagnostic accuracy study),not extracted,newborns undergoing capillary blood glucose testing,"four portable analysers: HemoCue B-Glucose, Accu-Check III, One-touch II, Glucometer Elite",not explicitly stated reference method (implied laboratory reference),accuracy/precision; hematocrit/temperature/oxygen interference,only HemoCue B-Glucose met accuracy/precision requirements for neonates; other three devices inaccuracy not acceptable clinically,scatter of instrument II results ~1.6x greater than instrument I,not applicable,not applicable,not applicable,hematocrit influenced all devices (5% to 12% change per 10% hematocrit change); temperature and oxygen (instrument IV) markedly affected two devices,paired capillary POC vs reference method (not specified in abstract),not applied (accuracy study),,low (abstract-level detail only; reference method not fully specified),direct - newborn/neonatal population,Low,imprecision (methodological detail limited in available abstract); risk of bias (reference method not specified),not extracted,not extracted,abstract-only; full text not retrieved this session,Y [abstract only],9566281,not resolved in PubMed record,"One of the RESEARCH-BRIEF.md candidate PMIDs, screened and included; classic evidence for hematocrit/temperature/oxygen interference in neonatal glucometry",newborns (GA not specified),not a single threshold (device comparison study),point-of-care (capillary) vs reference method,not applicable (accuracy study),not applicable
B8,Tendl 2013,Austria,neonatal intensive care unit (two-site),tertiary NICU (two-site),prospective two-site evaluation study,159 heparinised whole blood samples,not applicable (diagnostic accuracy study),not extracted,NICU patients including preterm infants,Nova Biomedical StatStrip glucose meter,blood gas analyser (routine NICU reference method),accuracy (bias) and analytical interferences,"good clinical accuracy across wide glucose range (13-389 mg/dL, 0.7-21.6 mmol/L); no effect of hematocrit, pH, or medication",not a single pooled effect size (correlation/bias analysis),not reported as single CI,not reported as single CI,not applicable,"authors conclude StatStrip can act as a perfect alternative to a blood gas analyser for NICU glucose measurement, including preterm infants",paired POC vs blood gas analyser,not applied (accuracy study),,"low-moderate (two-site, 159 samples)",direct - NICU population including preterm infants,Moderate,"imprecision (two centres only); indirectness (specific device/chemistry, not generalisable to all POC devices)",not extracted,not extracted,positive finding specific to StatStrip's hexokinase/electrochemical chemistry - not generalisable to other device chemistries,N,23612555,10.1515/cclm-2012-0864,Preterm-inclusive evidence that a well-chosen device can match a blood gas analyser; consistent with St Clair 2024's HK+electrochemistry finding,NICU population including preterm infants (GA not further specified),not a single threshold (wide-range accuracy study 13-389 mg/dL),point-of-care vs blood gas analyser,not applicable (accuracy study),not applicable
B9,Hwang 2015,South Korea,Eulji University Hospital NICU,neonatal intensive care unit,prospective evaluation study,230 blood samples from 50 newborns,not applicable (diagnostic accuracy study),not extracted,preterm or low-birth-weight infants (<=2300g or <=36 weeks),"three glucometers: Precision Pcx, One-Touch Verio, LifeScan SureStep Flexx",laboratory chemical analyser (Advia),correlation coefficients overall and stratified by glucose <=60 mg/dL vs >60 mg/dL,correlation 0.888/0.884/0.900 overall; markedly lower at <=60 mg/dL (0.674/0.687/0.679) than >60 mg/dL (0.822/0.819/0.839),sensitivity 0.458/0.604/0.688 and specificity 0.995/0.989/0.989 at <=60 mg/dL for the three devices respectively,not reported as CI,not reported as CI,p>0.05 for device-vs-lab mean difference after correction,"low sensitivity for hypoglycaemia detection despite high specificity across all three devices, in this preterm/LBW-specific population",paired POC vs laboratory analyser,not applied (accuracy study),,moderate,direct - preterm/LBW population specifically,Moderate,"imprecision (50 infants, single centre); the paper's own conclusion states correlation is lower in preterm/LBW infants than adult literature generally reports",not extracted,not extracted,preterm-specific demonstration of low-end accuracy degradation,N,26388895,10.3345/kjp.2015.58.8.301,Directly answers the preterm-specific accuracy question the brief asks about (combo #4),<=36 weeks gestation or <=2300g (preterm/LBW specific),60 mg/dL / 3.3 mmol/L (stratification cutoff),point-of-care vs laboratory,not applicable (accuracy study),not applicable
B10,Brooks 2023,USA,Monroe Carell Jr. Children's Hospital at Vanderbilt,neonatal intensive care unit,prospective comparison study,40 neonates,not applicable (diagnostic accuracy study),not extracted,preterm and ill neonates with umbilical arterial catheter access,blood glucose monitor (Inform II) on capillary (heel-stick) and arterial samples,YSI 2300 Stat Plus plasma glucose (arterial sample),proportion of results meeting CLSI/FDA tolerance criteria,arterial BGM results predominantly met CLSI/FDA criteria; capillary results markedly less reliable,27.5% of capillary BGM results fell outside CLSI/FDA tolerance criteria (vs low discordance for arterial),not reported as CI,not reported as CI,not reported,discrepancy attributed to capillary sampling/perfusion factors rather than device chemistry (same device used for both sample types),paired capillary and arterial POC vs plasma reference,not applied (accuracy study),,moderate,direct - preterm and ill neonates (explicitly addressing generalisability gap from healthy-term-only prior studies),Moderate,"imprecision (single centre, n=40); indirectness (preterm/ill population may not generalise to the healthy late-preterm/term population BAPM's screening pathway primarily targets)",NIH/US PHS support (per PubMed record),not extracted,"authors explicitly note prior BGM studies mostly included healthy-term neonates only, limiting applicability to preterm/ill infants - this study fills that gap",N,37864354,10.1177/19322968231207861,Directly demonstrates capillary (the default cot-side sampling route) is less reliable than arterial with the SAME device - a sampling-technique finding distinct from device-chemistry findings,preterm and ill neonates (GA not further specified in abstract),not a single threshold (CLSI/FDA tolerance criteria applied),point-of-care capillary vs arterial vs laboratory (YSI reference),not applicable (accuracy study),not applicable
B11,Kuboi 2025,Japan,six tertiary NICUs (Shikoku Neonatal Medical Research Group),tertiary neonatal intensive care units (multicentre),multicentre comparative study,2943 blood glucose measurements in 285 infants,not applicable (diagnostic accuracy study),not extracted,infants from 22 weeks gestation onward including very/extremely preterm,Glutest Mint II point-of-care blood glucose meter,blood gas analyser,correlation/accuracy across full gestational age and birthweight range,Glutest Mint II significantly correlated with blood gas analyser; very high accuracy across the neonatal range,not a single pooled effect size (correlation/agreement study),not reported as single CI,not reported as single CI,not applicable,hematocrit and total serum bilirubin levels did not appear to affect accuracy,paired POC vs blood gas analyser,not applied (accuracy study),,"moderate-good (large multicentre sample, 6 sites)",direct - includes extremely preterm infants (from 22 weeks),Low-Moderate,"indirectness (single country, single device, not yet independently replicated); imprecision for the extremely preterm subgroup specifically (subgroup of larger sample)",not extracted,not extracted,not yet independently replicated outside this research group/country,N,40022493,10.1177/00045632251326460,"Most reassuring recent evidence that a modern device can perform adequately even in extremely preterm infants - directly relevant to a Level 3 unit's caseload, partially offsetting the usual preterm evidence-gap concern for accuracy specifically (not for outcome thresholds)",22 weeks gestation and above (includes extremely preterm),not a single threshold (accuracy study across full range),point-of-care vs blood gas analyser,not applicable (accuracy study),not applicable
B12,Sundar 2026,India,Chettinad Hospital and Research Institute; JIPMER Puducherry,neonatal setting,prospective diagnostic accuracy study,199 neonates,not applicable (diagnostic accuracy study),not extracted,neonates requiring glucose monitoring,"four newer-generation glucometers: Contour Plus, Accu-Chek Instant, OneTouch Select Plus, FreeStyle Optium Neo",laboratory plasma glucose (fluoride-oxalate),"agreement vs ISO 15197:2013, CLSI POCT12-A3, and UNICEF criteria","all 4 devices met ISO 15197 at <100 mg/dL; 2 of 4 (Accu-Chek Instant, Contour Plus) also met CLSI standards; NONE met UNICEF benchmark",Pearson's r for hematocrit association -0.258 to +0.196 (weak),not reported as single CI,not reported as single CI,not applicable,"patient characteristics (sex, gestational age, oxygen therapy, inotrope use) had negligible effect on discordance",paired POC vs laboratory plasma glucose,not applied (accuracy study),,moderate,direct - neonatal population,Moderate,"imprecision (199 neonates, likely single/two-centre); the UNICEF benchmark failure by all 4 devices is a genuine negative finding despite ISO/CLSI success",not extracted,not extracted,"none of the 4 modern devices met the stricter UNICEF framework, despite meeting ISO 15197",N,42493372,10.1016/j.clinthera.2026.06.021,One of the RESEARCH-BRIEF.md candidate PMIDs; screened and included; most recent (2026) head-to-head modern-device comparison against three different standards simultaneously,neonates (GA not further specified in abstract),100 mg/dL / 5.6 mmol/L (stratification point for ISO/CLSI criteria),point-of-care vs laboratory,not applicable (accuracy study),not applicable
B13,Bond 2025,"USA/multiple (Rice360 Institute, resource-constrained settings focus)",simulated laboratory conditions (not clinical bedside),n/a (bench/simulation study),laboratory simulation study,"not applicable (simulated adult blood samples, not patients)",not applicable,not extracted,simulated neonatal blood conditions (adult blood altered to hematocrit 18/40/55% and glucose 40/150 mg/dL),11 commercial point-of-care glucometers,YSI 2300 clinical chemistry analyser,mean percent bias; mean absolute relative difference; ranking by accuracy/precision/cost,"StatStrip and StatStrip Xpress 2 ranked best (Group 1); AccuChek Guide/GuideMe/Instant/Performa next (Group 2); HemoCue RT, Nipro Premier, OneTouchUltra 2 ranked worst (Group 4)",not a single pooled effect size (ranking study across 11 devices x 9 conditions),not reported as single CI,not reported as single CI,not applicable,ranking intended for resource-constrained/low-and-middle-income settings where neonate-specific devices are unaffordable,simulated blood at controlled hematocrit/glucose vs YSI reference,not applied (bench study),,"not applicable (bench simulation, not patient study)","indirect - simulated blood, not neonatal patients",Low,"indirectness (simulated adult blood, not actual neonatal blood/patients - a key limitation for generalisability); imprecision (bench conditions may not capture clinical sampling variance)",not extracted,not extracted,"simulated blood, not real neonatal patients - a genuine indirectness limitation",N,40818947,10.1186/s12887-025-05934-9,"One of the RESEARCH-BRIEF.md candidate PMIDs; screened and included; StatStrip-class devices again rank best, consistent with St Clair 2024 and Tendl 2013","not applicable (simulated blood, not patients)",40 mg/dL / 2.2 mmol/L and 150 mg/dL / 8.3 mmol/L (simulated glucose levels tested),point-of-care vs reference analyser (simulated blood),not applicable (accuracy study),not applicable
B14,Sheen 2023,Taiwan,medical center in central Taiwan,neonatal intensive care unit and sick child room (plus separate adult ICU arm),cross-sectional study,"114 neonates (plus 106 critically ill adults, separate arm)",not applicable (diagnostic accuracy study),not extracted,"neonates mean age 4.2 days (range 0-28 days), excluding suspected infection/coagulopathy",CONTOUR PLUS and CONTOUR PLUS ONE glucometers,ISO 15197:2013 accuracy criteria (implied laboratory reference),proportion of measurements meeting ISO 15197:2013 criteria,all neonatal venous blood measurements met ISO 15197:2013 accuracy criteria for both glucometers,not a single pooled effect size,not reported as single CI,not reported as single CI,not applicable,"98.1% and 97.2% of arterial glucose measurements for critically ill ADULTS met criteria (separate arm, not neonatal)",paired POC vs laboratory reference (ISO 15197 criteria),not applied (accuracy study),,moderate,direct - neonatal population (0-28 days),Moderate,"imprecision (114 neonates, single centre); indirectness (excluded neonates with suspected infection or coagulopathy - may not represent the most unwell NICU population)",not extracted,not extracted,positive finding for these specific newer wireless-linked devices in neonates,N,37248091,10.1016/j.clinthera.2023.05.005,One of the RESEARCH-BRIEF.md candidate PMIDs; screened and included; notably positive finding (100% neonatal venous samples met ISO criteria) contrasting with several other studies' negative findings,0-28 days of age,not a single threshold (ISO 15197:2013 criteria applied across range),point-of-care (venous) vs laboratory,not applicable (accuracy study),not applicable
B15,Parikh 2025,USA,McGovern Medical School NICU (Houston),neonatal intensive care unit,retrospective cohort study,118 patients (inborn infants),not applicable (diagnostic accuracy study),not extracted,inborn NICU infants in first 14 postnatal days,point-of-care (POC) testing (multiple analytes including glucose),central laboratory (CL) testing,mean difference (CL minus POC) for glucose and other analytes,POC systematically UNDERESTIMATED glucose vs central lab by mean 2.3 mg/dL (0.13 mmol/L),"also underestimated sodium (6.0 mEq/L), potassium (0.1 mEq/L), chloride (5.1 mEq/L); overestimated hemoglobin/hematocrit",not reported as single CI,not reported as single CI,not reported,glucose and hemoglobin differences INCREASED over postnatal time; hematocrit difference remained stable,paired POC vs central laboratory (linear mixed-effects models),not applied (accuracy study),,"moderate (118 patients, single centre, linear mixed-effects modelling for within/between-subject variation)",direct - inborn NICU infants,Moderate,"imprecision (single centre); risk of bias (retrospective, paired-timing window up to 1 hour may introduce true physiological change between samples)",not extracted,not extracted,"direction of bias (underestimation) is OPPOSITE to Roth-Kleiner 2010's overestimation finding with a different device/era - genuine inconsistency, not resolved",N,41419656,10.1038/s41372-025-02543-3,"Recent (2025) evidence of systematic POC underestimation, contrasting with older overestimation findings - key evidence for the (d) tension on inconsistent bias direction across studies","NICU inborn infants, first 14 postnatal days (GA not further specified in abstract)",not a single threshold (mean-difference bias study),point-of-care vs central laboratory,not applicable (accuracy study),not applicable
B16,Hamama 2026,Canada,"Health Science Center, Winnipeg, Manitoba",neonatal intensive care unit,retrospective cross-sectional comparative study,108 newborns,not applicable (diagnostic accuracy study),not extracted,NICU newborns with hypoglycaemic POC results (Sept 2022-Aug 2024),Nova StatStrip point-of-care glucose meter (hypoglycaemic readings only),confirmatory central laboratory serum glucose (Roche cobas c501),correlation and regression agreement between POC and serum,significant correlation r=0.825; POC systematically higher than lab (positive bias),"Deming regression slope 1.223, intercept -0.75; Passing-Bablok slope 1.200, intercept -0.70",not reported as CI,not reported as CI,not reported,authors conclude study questions the need for confirmatory serum samples in the presence of bedside hypoglycemic results,paired POC vs confirmatory central lab serum,not applied (accuracy study),,"low-moderate (single centre, retrospective, n=108)",direct - NICU population with confirmed hypoglycaemic readings,Low,"risk of bias (retrospective, single centre, single device); imprecision (n=108); indirectness (conclusion is authors' interpretation, not an outcome-based safety comparison of skipping confirmation)",not extracted,not extracted,single small retrospective study; contrarian conclusion not yet replicated and in tension with BAPM's confirmation requirement and the great majority of the accuracy literature,N,42137950,10.1515/jpem-2025-0736,"Erratum published separately at PMID 42387304 (DOI 10.1515/jpem-2026-0438), same authors/journal; central evidence for the (a)/(d) discussion of the governance/diagnosis question",NICU newborns (GA not specified in abstract),not a single threshold (regression/correlation study of POC vs serum in already-hypoglycaemic range),point-of-care vs laboratory (serum),not applicable (accuracy study),not applicable
B17,Beardsall 2012,"International (multicentre, incl. UK)",multiple NICUs (NIRTURE trial sites),neonatal intensive care (very low birth weight),prospective validation study (RCT substudy),188 very low birth weight infants (NIRTURE trial control arm),5207 paired glucose readings,not extracted,very low birth weight infants,continuous glucose monitoring sensor (CGMS),point-of-care glucose monitors (simultaneous),correlation; Clarke Error Grid/Consensus Grid; accuracy for detecting threshold-crossing,CGMS correlated well with POC overall (r=0.94) with minimal bias; met Clarke Error Grid and Consensus Grid criteria for clinical significance,not applicable (correlation/agreement study),not applicable,not applicable,not applicable,accuracy of SINGLE readings to detect set hypoglycaemia/hyperglycaemia thresholds was POOR; no deterioration in CGMS accuracy over 7 days,paired CGMS vs POC glucose,not applied (validation study),,moderate-good (international multicentre RCT substudy),direct - very low birth weight preterm infants,Moderate,"imprecision (single reading accuracy assessment underpowered relative to trend accuracy assessment); indirectness (CGMS vs POC, not vs a laboratory gold standard)",NIHR/Wellcome Trust and other non-industry support (per PubMed record),not extracted,"CGM good for TRENDS, poor for single-reading threshold detection",N,22791467,10.1136/archdischild-2012-301661,UK-relevant (NIRTURE trial included UK sites); key evidence that CGM is not a diagnostic substitute despite good trend correlation,very low birth weight preterm infants,not a single threshold (accuracy-for-detecting-thresholds study),continuous interstitial glucose monitoring vs point-of-care,7 days (CGMS recording duration),not applicable (accuracy study)
